fullName,monoMass
gly->cys substitution,45.987721
thr->phe substitution,46.020735
val->phe substitution,48
asp->tyr substitution,48.036386
asn->tyr substitution,49.020401
his->trp substitution,49.020401
leu/ile->tyr substitution,49.979265
pro->phe substitution,50.01565
ser->his substitution,50.026883
cys->arg substitution,53.091927
met->trp substitution,55.038828
thr->arg substitution,55.053433
gly->leu/ile substitution,56.0626
ala->gln substitution,57.021464
gly->asn substitution,57.021464
val->arg substitution,57.032697
glu->trp substitution,57.03672
ala->lys substitution,57.057849
lys->trp substitution,57.98435
ala->glu substitution,58.005479
gly->asp substitution,58.005479
gln->trp substitution,58.020735
pro->arg substitution,59.048347
ala->met substitution,60.003371
ser->phe substitution,60.036386
cys->tyr substitution,60.054144
thr->tyr substitution,62.01565
val->tyr substitution,63.994915
pro->tyr substitution,66.010565
ala->his substitution,66.021798
ser->arg substitution,69.069083
gly->gln substitution,71.037114
asp->trp substitution,71.05237
gly->lys substitution,71.073499
gly->glu substitution,72.021129
asn->trp substitution,72.036386
leu/ile->trp substitution,72.995249
gly->met substitution,74.019021
ser->tyr substitution,76.0313
ala->phe substitution,76.0313
gly->his substitution,80.037448
cys->trp substitution,83.070128
thr->trp substitution,85.031634
ala->arg substitution,85.063997
val->trp substitution,87.010899
pro->trp substitution,89.026549
gly->phe substitution,90.04695
ala->tyr substitution,92.026215
ser->trp substitution,99.047285
gly->arg substitution,99.079647
gly->tyr substitution,106.041865
ala->trp substitution,115.042199
gly->trp substitution,129.057849
